	C:\Users\analu\Google Drive\Work\MESTRADO\Ciclismo\COLETAS\ROMA\DADOS\VISUAL3D_BODY_ALL\S3\S3_COEL_250W.c3d	C:\Users\analu\Google Drive\Work\MESTRADO\Ciclismo\COLETAS\ROMA\DADOS\VISUAL3D_BODY_ALL\S3\S3_COEL_250W.c3d	C:\Users\analu\Google Drive\Work\MESTRADO\Ciclismo\COLETAS\ROMA\DADOS\VISUAL3D_BODY_ALL\S3\S3_COEL_250W.c3d	C:\Users\analu\Google Drive\Work\MESTRADO\Ciclismo\COLETAS\ROMA\DADOS\VISUAL3D_BODY_ALL\S3\S3_COEL_250W.c3d	C:\Users\analu\Google Drive\Work\MESTRADO\Ciclismo\COLETAS\ROMA\DADOS\VISUAL3D_BODY_ALL\S3\S3_COEL_250W.c3d	C:\Users\analu\Google Drive\Work\MESTRADO\Ciclismo\COLETAS\ROMA\DADOS\VISUAL3D_BODY_ALL\S3\S3_COEL_250W.c3d	C:\Users\analu\Google Drive\Work\MESTRADO\Ciclismo\COLETAS\ROMA\DADOS\VISUAL3D_BODY_ALL\S3\S3_COEL_250W.c3d	C:\Users\analu\Google Drive\Work\MESTRADO\Ciclismo\COLETAS\ROMA\DADOS\VISUAL3D_BODY_ALL\S3\S3_COEL_250W.c3d	C:\Users\analu\Google Drive\Work\MESTRADO\Ciclismo\COLETAS\ROMA\DADOS\VISUAL3D_BODY_ALL\S3\S3_COEL_250W.c3d	C:\Users\analu\Google Drive\Work\MESTRADO\Ciclismo\COLETAS\ROMA\DADOS\VISUAL3D_BODY_ALL\S3\S3_COEL_250W.c3d	C:\Users\analu\Google Drive\Work\MESTRADO\Ciclismo\COLETAS\ROMA\DADOS\VISUAL3D_BODY_ALL\S3\S3_COEL_250W.c3d	C:\Users\analu\Google Drive\Work\MESTRADO\Ciclismo\COLETAS\ROMA\DADOS\VISUAL3D_BODY_ALL\S3\S3_COEL_250W.c3d	C:\Users\analu\Google Drive\Work\MESTRADO\Ciclismo\COLETAS\ROMA\DADOS\VISUAL3D_BODY_ALL\S3\S3_COEL_250W.c3d	C:\Users\analu\Google Drive\Work\MESTRADO\Ciclismo\COLETAS\ROMA\DADOS\VISUAL3D_BODY_ALL\S3\S3_COEL_250W.c3d	C:\Users\analu\Google Drive\Work\MESTRADO\Ciclismo\COLETAS\ROMA\DADOS\VISUAL3D_BODY_ALL\S3\S3_COEL_250W.c3d	C:\Users\analu\Google Drive\Work\MESTRADO\Ciclismo\COLETAS\ROMA\DADOS\VISUAL3D_BODY_ALL\S3\S3_COEL_250W.c3d	C:\Users\analu\Google Drive\Work\MESTRADO\Ciclismo\COLETAS\ROMA\DADOS\VISUAL3D_BODY_ALL\S3\S3_COEL_250W.c3d	C:\Users\analu\Google Drive\Work\MESTRADO\Ciclismo\COLETAS\ROMA\DADOS\VISUAL3D_BODY_ALL\S3\S3_COEL_250W.c3d	C:\Users\analu\Google Drive\Work\MESTRADO\Ciclismo\COLETAS\ROMA\DADOS\VISUAL3D_BODY_ALL\S3\S3_COEL_250W.c3d	C:\Users\analu\Google Drive\Work\MESTRADO\Ciclismo\COLETAS\ROMA\DADOS\VISUAL3D_BODY_ALL\S3\S3_COEL_250W.c3d	C:\Users\analu\Google Drive\Work\MESTRADO\Ciclismo\COLETAS\ROMA\DADOS\VISUAL3D_BODY_ALL\S3\S3_COEL_250W.c3d	C:\Users\analu\Google Drive\Work\MESTRADO\Ciclismo\COLETAS\ROMA\DADOS\VISUAL3D_BODY_ALL\S3\S3_COEL_250W.c3d	C:\Users\analu\Google Drive\Work\MESTRADO\Ciclismo\COLETAS\ROMA\DADOS\VISUAL3D_BODY_ALL\S3\S3_COEL_250W.c3d	C:\Users\analu\Google Drive\Work\MESTRADO\Ciclismo\COLETAS\ROMA\DADOS\VISUAL3D_BODY_ALL\S3\S3_COEL_250W.c3d	C:\Users\analu\Google Drive\Work\MESTRADO\Ciclismo\COLETAS\ROMA\DADOS\VISUAL3D_BODY_ALL\S3\S3_COEL_250W.c3d	C:\Users\analu\Google Drive\Work\MESTRADO\Ciclismo\COLETAS\ROMA\DADOS\VISUAL3D_BODY_ALL\S3\S3_COEL_250W.c3d	C:\Users\analu\Google Drive\Work\MESTRADO\Ciclismo\COLETAS\ROMA\DADOS\VISUAL3D_BODY_ALL\S3\S3_COEL_250W.c3d	C:\Users\analu\Google Drive\Work\MESTRADO\Ciclismo\COLETAS\ROMA\DADOS\VISUAL3D_BODY_ALL\S3\S3_COEL_250W.c3d	C:\Users\analu\Google Drive\Work\MESTRADO\Ciclismo\COLETAS\ROMA\DADOS\VISUAL3D_BODY_ALL\S3\S3_COEL_250W.c3d	C:\Users\analu\Google Drive\Work\MESTRADO\Ciclismo\COLETAS\ROMA\DADOS\VISUAL3D_BODY_ALL\S3\S3_COEL_250W.c3d	C:\Users\analu\Google Drive\Work\MESTRADO\Ciclismo\COLETAS\ROMA\DADOS\VISUAL3D_BODY_ALL\S3\S3_COEL_250W.c3d
13	4.75264	4.69272	4.62064	4.57801	4.63291	4.67089	4.62497	4.89398	4.64912	4.66061	4.55065	4.65652	4.60660	4.81305	4.96858	4.88243	4.70565	4.71629	4.70491	4.69973	4.85763	4.64254	4.86447	4.78988	4.58661	4.49267	4.57757	4.57227	4.68158	4.67918	4.72019
14	4.76165	4.70395	4.63698	4.58747	4.65175	4.67561	4.62814	4.91450	4.66107	4.67045	4.55948	4.65525	4.61587	4.83076	4.99463	4.90274	4.71012	4.73844	4.73200	4.72604	4.88280	4.66382	4.87157	4.81209	4.61189	4.50082	4.58488	4.56431	4.70467	4.68791	4.73587
15	4.77070	4.71551	4.65687	4.60813	4.66966	4.68457	4.63484	4.93632	4.67248	4.68035	4.56894	4.65272	4.62291	4.84853	5.01788	4.92630	4.71187	4.76438	4.76457	4.75261	4.90559	4.68436	4.87085	4.83822	4.63657	4.51090	4.59005	4.55635	4.72651	4.70216	4.75230
16	4.78047	4.72862	4.67431	4.64573	4.68642	4.69541	4.64433	4.95961	4.68480	4.69249	4.57792	4.65784	4.62932	4.86736	5.03923	4.96050	4.71364	4.79324	4.79953	4.78073	4.92485	4.70314	4.86054	4.86340	4.66181	4.52310	4.59943	4.54980	4.74624	4.72904	4.76961
17	4.79321	4.74374	4.68777	4.68578	4.70044	4.70815	4.65584	4.98377	4.69762	4.70646	4.58583	4.66629	4.63686	4.88784	5.05980	4.99861	4.71957	4.82364	4.83004	4.80817	4.94016	4.72030	4.84752	4.88526	4.68613	4.53603	4.61106	4.54561	4.76357	4.75909	4.78785
18	4.80612	4.75984	4.69449	4.71801	4.71153	4.72653	4.66861	5.00729	4.71037	4.71677	4.59330	4.67819	4.64721	4.90974	5.07999	5.03379	4.73106	4.85386	4.85166	4.83486	4.95222	4.73641	4.83858	4.90214	4.70820	4.55304	4.62388	4.54274	4.77835	4.78918	4.80677
19	4.82232	4.77620	4.69593	4.74539	4.71975	4.74668	4.68140	5.02875	4.72298	4.72769	4.60104	4.69537	4.66162	4.93238	5.09941	5.05910	4.75046	4.88217	4.86631	4.86119	4.96199	4.75166	4.83852	4.91580	4.72737	4.57089	4.63849	4.54392	4.79112	4.81270	4.82613
20	4.84273	4.79321	4.69741	4.76695	4.73083	4.76960	4.69276	5.04748	4.73547	4.73602	4.60970	4.71261	4.68056	4.95627	5.11875	5.07217	4.77936	4.90768	4.87757	4.88635	4.97045	4.76611	4.84721	4.92825	4.74318	4.59488	4.65250	4.54705	4.80220	4.82968	4.84562
21	4.86628	4.81306	4.70491	4.78445	4.74434	4.79354	4.70156	5.06370	4.74779	4.74160	4.62009	4.73059	4.70368	4.98143	5.13866	5.07496	4.81300	4.93080	4.89018	4.90996	4.97891	4.78012	4.85199	4.94326	4.76159	4.61937	4.66918	4.55081	4.81667	4.84087	4.86512
22	4.89090	4.83197	4.71596	4.80064	4.76037	4.81689	4.70932	5.07826	4.75998	4.74650	4.63250	4.74698	4.72988	5.00610	5.15796	5.07332	4.84537	4.95303	4.90043	4.93243	4.98837	4.79439	4.84513	4.95948	4.77980	4.64477	4.69054	4.56033	4.83448	4.84850	4.88491
23	4.91582	4.85144	4.72891	4.80992	4.77815	4.83854	4.71841	5.09236	4.77059	4.75191	4.64667	4.76605	4.75751	5.02420	5.17100	5.08150	4.87268	4.97567	4.90569	4.95411	4.99941	4.80981	4.83179	4.97387	4.79713	4.67263	4.72005	4.57258	4.85630	4.85437	4.90580
24	4.94536	4.87172	4.74259	4.80512	4.79743	4.85813	4.72930	5.10696	4.78273	4.75816	4.66180	4.78778	4.78481	5.03817	5.17964	5.10264	4.89528	4.99761	4.90743	4.97515	5.01277	4.82592	4.82110	4.98988	4.81387	4.70286	4.75298	4.59014	4.88201	4.86093	4.92913
25	4.96954	4.89302	4.75598	4.80203	4.81834	4.87622	4.74255	5.12255	4.79349	4.76526	4.67664	4.80878	4.81615	5.04919	5.18882	5.12167	4.90925	5.02165	4.91387	4.99590	5.02858	4.84552	4.81667	5.00631	4.83095	4.73357	4.78162	4.60636	4.91112	4.87138	4.95614
26	4.98812	4.91514	4.77268	4.80635	4.84076	4.89347	4.75764	5.13913	4.80617	4.77333	4.69045	4.83014	4.85715	5.05870	5.20246	5.14247	4.92234	5.04379	4.92739	5.01676	5.04655	4.86615	4.81799	5.02352	4.84932	4.76328	4.80930	4.62356	4.94262	4.88532	4.98713
27	5.00140	4.93716	4.79323	4.82136	4.86397	4.91025	4.77312	5.15629	4.81932	4.78243	4.70307	4.85221	4.89757	5.06776	5.22109	5.15854	4.93950	5.06712	4.94895	5.03768	5.06675	4.88707	4.82352	5.03823	4.86964	4.79162	4.83648	4.64058	4.97490	4.90030	5.02088
28	5.01117	4.95779	4.81334	4.84244	4.88516	4.92712	4.78851	5.17331	4.83599	4.79108	4.71491	4.87507	4.92309	5.07654	5.24088	5.17093	4.96166	5.09027	4.97569	5.05806	5.08861	4.90717	4.83117	5.05168	4.89190	4.81861	4.86072	4.65706	5.00590	4.91739	5.05511
