Tempo (ms);Trajetória 1
0;0,00692019406706095
8;0,00694932602345943
17;0,00697845797985792
25;0,01004065326415
33;0,0174030387308449
42;0,0295709664002061
50;0,0459326818585396
58;0,0635825306177139
67;0,0810310214757919
75;0,0975445240736008
83;0,113257296383381
92;0,129159893095493
100;0,1466707482934
108;0,166776013374329
117;0,189878839254379
125;0,216263574361801
133;0,246039745211601
142;0,279107919335365
150;0,315341556072235
158;0,354282516241074
167;0,39502586722374
175;0,43685182929039
184;0,479492497444153
192;0,522787135839462
200;0,566490715742111
209;0,610283505916595
217;0,653806960582733
225;0,696653890609741
234;0,738429498672485
242;0,778918719291687
250;0,817975497245789
259;0,855151319503784
267;0,889788925647736
275;0,921543967723846
284;0,950591778755188
292;0,977572953701019
300;1,00361114740372
309;1,03002154827118
317;1,0575788974762
325;1,08609120845795
334;1,11459276676178
342;1,14174346923828
350;1,16627063751221
359;1,18743629455566
367;1,20521626472473
375;1,22004976272583
384;1,23241410255432
392;1,24244956970215
400;1,24973123073578
409;1,25334644317627
417;1,25233161449432
425;1,24617590904236
434;1,23500583171844
442;1,21933240890503
450;1,19957211017609
459;1,17569296360016
467;1,14725751876831
475;1,11388819217682
484;1,07579712867737
492;1,03391041755676
500;0,98947981595993
509;0,943507707118988
517;0,896491396427155
526;0,848723018169403
534;0,80074737071991
542;0,753432953357697
551;0,707621645927429
559;0,663590347766876
567;0,620659530162811
576;0,577413254976273
584;0,532390087842941
592;0,484548062086105
601;0,43341977596283
609;0,379274797439575
617;0,322982257604599
626;0,265603038668632
634;0,208353881537914
642;0,152660904079676
651;0,100333228707314
659;0,0677024096250534
667;0,0550406768918037
676;0,061583486199379
684;0,0862429775297642
692;0,127368073165417
701;0,16858875900507
709;0,209403347969055
717;0,250025853514671
726;0,290637990832329
734;0,331176188588142
742;0,371078908443451
751;0,409421533346176
759;0,445248907804489
767;0,477689415216446
776;0,505884259939194
784;0,52895285487175
792;0,546084010601044
801;0,556798934936523
809;0,56136417388916
817;0,561036396026611
826;0,557848823070526
834;0,554187536239624
843;0,552311289310455
851;0,553749704360962
859;0,558947992324829
868;0,567477905750275
876;0,578500318527222
884;0,591301417350769
893;0,605804812908173
901;0,62276725769043
909;0,643576717376709
918;0,669675159454346
926;0,701741433143616
934;0,7392373919487
943;0,780678772926331
951;0,824182295799255
959;0,867999398708344
968;0,911077630519867
976;0,953286170959473
984;0,995034158229828
993;1,03689067363739
1001;1,0796383023262
1009;1,12429234981537
1018;1,1719043970108
1026;1,22346420288086
1034;1,27967703342438
1043;1,34049789905548
1051;1,40496442317963
1059;1,47128825187683
1068;1,53677942752838
1076;1,59795689582825
1084;1,65101864337921
1093;1,69219019412994
1101;1,71801273822784
1109;1,72587242126465
1118;1,71443581581116
1126;1,68370497226715
1134;1,63482427597046
1143;1,56972489356995
1151;1,49067468643188
1159;1,39978444576263
1168;1,29857442378998
1176;1,18798286914825
1185;1,06894781589508
1193;0,943134486675262
1201;0,813403689861298
1210;0,683888953924179
1218;0,559796494245529
1226;0,447516047954559
1235;0,355182415246963
1243;0,290781620144844
1251;0,257397738099098
1260;0,252145037055016
1268;0,267587766051292
1276;0,29284425675869
1285;0,316853934526444
1293;0,33371946811676
1301;0,34326850771904
1310;0,348372739553452
1318;0,352645623683929
1326;0,358960175514221
1335;0,368847239017487
1343;0,382766103744507
1351;0,40055193901062
1360;0,421331107616425
1368;0,443256294727325
1376;0,463769972324371
1385;0,480194699764252
1393;0,490132075548172
1401;0,491781604290009
1410;0,484193575382233
1418;0,467160385847092
1426;0,440940636396408
1435;0,406209689378738
1443;0,364155697822571
1451;0,316520676016808
1460;0,265676194429398
1468;0,21469053030014
1476;0,167081595957279
1485;0,12362772077322
1493;0,082243986427784
1502;0,0408602520823479
