Tempo (ms);Trajetória 1
0;-0,507119260899606
8;-0,511780835029676
17;-0,514908009069502
25;-0,516126208797428
33;-0,514357401307748
42;-0,50777673853704
50;-0,493867541311316
58;-0,469626553954407
67;-0,431988086069911
75;-0,378559079547471
83;-0,308290014913111
92;-0,221210801654221
100;-0,117290597195882
108;0,00458912495881544
117;0,14659218216848
125;0,310830576536752
133;0,499088769476444
142;0,713731334812314
150;0,957793163694435
158;1,23424435480453
167;1,5453369491987
175;1,89192550110697
184;2,27363972838926
192;2,69033057290591
200;3,14284296317897
209;3,63219253300953
217;4,15862509779299
225;4,72149310664753
234;5,3198986837098
242;5,95313991727501
250;6,62007712950126
259;7,31893659176502
267;8,0480115528977
275;8,80534233529998
284;9,58797442593633
292;10,3928165232973
300;11,2181644869757
309;12,0640200276287
317;12,9317826222534
325;13,8238210349079
334;14,7419162227874
342;15,6855480214068
350;16,6519580551995
359;17,6374525213951
367;18,6385077654724
375;19,6523032786971
384;20,6768093866518
392;21,7105438401191
400;22,7520853891672
409;23,7993932141259
417;24,848969525555
425;25,8954428600283
434;26,9326881757613
442;27,9560885139103
450;28,9635411609383
459;29,9538639086893
467;30,9242854834049
475;31,8696382094711
484;32,7837950572517
492;33,661911568417
500;34,501588395415
509;35,3021064548263
517;36,0628937528713
526;36,7828139956478
534;37,4607767169865
542;38,097128662559
551;38,6942772856781
559;39,2555296798044
567;39,7831640220993
576;40,2772126937009
584;40,7353957174854
592;41,1541630710231
601;41,5303373197027
609;41,8618786666842
617;42,1473867392083
626;42,3860027621832
634;42,5777369301427
642;42,7231870098394
651;42,8236877545478
659;42,8818411112849
667;42,9008281078525
676;42,8830159664621
684;42,8293644722047
692;42,7400474314078
701;42,615682080855
709;42,4575685698507
717;42,2664343451028
726;42,0417717743852
734;41,7827536253988
742;41,4891149505024
751;41,1614980348841
759;40,8018061547703
767;40,4130414613549
776;39,9986034204655
784;39,5620140446433
792;39,1074585223833
801;38,6404830251567
809;38,1676893776256
817;37,6953042730689
826;37,2275096760434
834;36,7653957538406
843;36,3074077330406
851;35,8506603697096
859;35,3915801828702
868;34,9265066174409
876;34,4528763505687
884;33,9695350244598
893;33,4757781975749
901;32,9702438025683
909;32,4502149783108
918;31,9113752989372
926;31,348079808476
934;30,7542469845959
943;30,1250240208033
951;29,4583550158181
959;28,7545361240765
968;28,0143908004527
976;27,2386878269352
984;26,4282646575545
993;25,5832803223224
1001;24,7031189679385
1009;23,7874466281528
1018;22,8358822519557
1026;21,8463373116506
1034;20,8146363006289
1043;19,7354884190536
1051;18,6038909860472
1059;17,416587482329
1068;16,1722208480221
1076;14,8708244365458
1084;13,5152160507712
1093;12,1132515970577
1101;10,6778395043636
1109;9,22501770134264
1118;7,77221889727249
1126;6,33722581806156
1134;4,93727814365359
1143;3,58778866664012
1151;2,30111482539639
1159;1,08681933590751
1168;-0,0470462483468854
1176;-1,09296459978367
1185;-2,04306740784198
1193;-2,88908430459172
1201;-3,62386010576948
1210;-4,2432117403199
1218;-4,74689037183006
1226;-5,13832614476552
1235;-5,42366108194424
1243;-5,61046171444023
1251;-5,70691983187177
1260;-5,72228975100783
1268;-5,66733994948078
1276;-5,554045591528
1285;-5,39467092163772
1293;-5,20034139096937
1301;-4,98014136303432
1310;-4,74086478576682
1318;-4,48668683518069
1326;-4,21904817329856
1335;-3,93707842687287
1343;-3,63848247761393
1351;-3,32090034285081
1360;-2,9828438546252
1368;-2,62334145565782
1376;-2,24226154726201
1385;-1,84224882751265
1393;-1,42935354633862
1401;-1,01133347366767
1410;-0,595875195593468
1418;-0,190403945509136
1426;0,197271966975304
1435;0,559149405474671
1443;0,88778231001731
1451;1,1768837927532
1460;1,42201751970777
1468;1,62108692163459
1476;1,77475296569437
1485;1,88729617662114
1493;1,96690194416002
1502;2,02429232945431
