Format Version,1.23,Take Name,V03A_004,Take Notes,,Capture Frame Rate,100,Export Frame Rate,100,Capture Start Time,2022-01-11 02.42.12.212 ,Total Frames in Take,67,Total Exported Frames,67,Rotation Type,XZY,Length Units,Meters,Coordinate Space,Global,,,,,,,,,,,,,,,,,,,,,,
423,0.04,14.08625,-3.502869,-7.049775,-0.040576,0.930884,-1.300226,19.861692,-5.473809,-2.266001,0.115188,0.647372,-1.386697,86.176514,-5.710367,-2.662884,0.099602,0.49326,-1.665606,94.449745,-4.278722,4.302029,0.054852,0.424599,-1.92615,-13.583421,3.826956,-6.971414,-0.179706,0.655513,-1.281672,-9.101267,6.949483,5.137845,-0.142333,0.287037,-1.229106,-16.833101,12.200253,5.855439,-0.093355,0.06555,-1.062786
424,0.05,13.453263,-3.424118,-7.129589,-0.040885,0.922229,-1.271465,18.758533,-5.208282,-1.395394,0.116033,0.637877,-1.353457,89.28894,-6.10744,-2.432192,0.099255,0.494177,-1.62665,97.193558,-4.164848,4.621541,0.053472,0.439985,-1.889583,-14.705521,4.054333,-6.397989,-0.179583,0.64874,-1.250052,-6.493754,7.023294,7.455539,-0.143961,0.280512,-1.205093,-12.979513,11.238841,6.414045,-0.092517,0.053749,-1.051739
425,0.06,12.831975,-3.631358,-7.221749,-0.041027,0.913196,-1.243027,17.40061,-4.905894,-0.872691,0.116933,0.62737,-1.319739,92.133774,-6.391289,-2.457684,0.099075,0.493208,-1.58618,99.722664,-3.919529,4.73482,0.052088,0.452529,-1.850369,-15.8332,4.151184,-5.336181,-0.179924,0.642342,-1.218635,-3.568097,7.148148,10.065595,-0.144584,0.274833,-1.181815,-8.577632,9.039602,6.796171,-0.091302,0.042969,-1.043985
426,0.07,12.272793,-4.123663,-7.346263,-0.041063,0.904149,-1.215131,15.760704,-4.443217,-0.704461,0.11771,0.616224,-1.285422,94.698639,-6.626908,-2.697637,0.099008,0.4905,-1.544348,101.888016,-3.544586,4.630543,0.050765,0.461961,-1.808801,-16.522867,4.175526,-4.455954,-0.18078,0.636599,-1.188066,-0.592801,7.387113,12.576848,-0.144081,0.270973,-1.158766,-4.5738,5.731157,7.035359,-0.089945,0.034942,-1.038789
427,0.08,11.841651,-4.911771,-7.511028,-0.040996,0.895621,-1.187867,13.887453,-3.731663,-0.849489,0.118236,0.605132,-1.250356,96.854126,-6.911171,-3.168164,0.09909,0.486278,-1.501113,103.56604,-3.082004,4.269858,0.0496,0.468011,-1.765139,-16.638987,4.248979,-4.234161,-0.181773,0.631929,-1.158583,2.629701,7.693673,14.145464,-0.143069,0.269479,-1.136178,-1.519465,2.552258,7.140256,-0.088872,0.029999,-1.035481
428,0.09,11.637733,-5.966121,-7.691703,-0.040772,0.888211,-1.160967,11.804115,-2.959987,-1.185621,0.118549,0.595177,-1.214337,98.490364,-7.230794,-3.854125,0.099292,0.480849,-1.456412,104.633339,-2.493143,3.614317,0.048586,0.470353,-1.719661,-16.485394,4.531745,-4.37709,-0.182449,0.628151,-1.130125,6.392514,7.90705,15.07292,-0.14242,0.269751,-1.115693,0.73097,0.212742,7.147577,-0.088267,0.027132,-1.03336
429,0.1,11.735324,-7.117156,-7.866448,-0.040401,0.882369,-1.134007,9.477705,-2.481103,-1.441946,0.11884,0.58729,-1.177335,99.62793,-7.530194,-4.681175,0.099499,0.474604,-1.410306,104.989433,-1.754112,2.669798,0.047652,0.468805,-1.67276,-16.295021,4.878632,-4.501497,-0.18277,0.624765,-1.102828,10.334716,7.97263,15.912673,-0.142304,0.270557,-1.098774,2.374898,-1.401637,7.137475,-0.087991,0.025471,-1.032009
430,0.11,12.034477,-8.086802,-7.955075,-0.039983,0.878374,-1.106828,6.959843,-2.246086,-1.493481,0.119299,0.581627,-1.139539,100.30426,-7.759476,-5.510909,0.099644,0.467905,-1.362974,104.599213,-0.946686,1.440103,0.046692,0.463355,-1.624816,-15.952197,5.061337,-4.6731,-0.182906,0.621699,-1.077094,13.761233,7.851398,16.288111,-0.142384,0.270835,-1.085464,3.520579,-2.46019,7.142209,-0.087921,0.024558,-1.031161
431,0.12,12.283881,-8.594393,-7.679679,-0.039313,0.876333,-1.079389,4.33954,-1.92451,-1.577365,0.119955,0.578039,-1.101059,100.465797,-7.895685,-6.235733,0.099719,0.46098,-1.314703,103.45076,-0.181928,-0.038497,0.045573,0.454064,-1.576123,-15.079735,5.067337,-4.950837,-0.182909,0.619244,-1.053235,16.348421,7.609726,16.449409,-0.142521,0.270163,-1.074972,4.365842,-3.137259,7.17487,-0.087974,0.024087,-1.030619
432,0.13,12.315534,-8.535044,-6.988776,-0.038442,0.876135,-1.051676,1.593022,-1.454484,-1.759688,0.120707,0.576751,-1.061924,99.973221,-7.888803,-6.870744,0.0997,0.453992,-1.265833,101.52932,0.430146,-1.699944,0.044239,0.441157,-1.526874,-13.414839,4.985159,-5.220207,-0.182779,0.617675,-1.031224,18.187311,7.432875,16.839363,-0.142701,0.268937,-1.066357,5.067297,-3.504461,7.240654,-0.088089,0.02393,-1.030269
