Tempo (ms);Trajetória 1
0;0
8;-0,00466161966323853
17;-0,00778877735137939
25;-0,00900697708129883
33;-0,00723814964294434
42;-0,000657498836517334
50;0,0132516920566559
58;0,0374926924705505
67;0,0751311480998993
75;0,128560155630112
83;0,198829233646393
92;0,285908430814743
100;0,389828652143478
108;0,511708378791809
117;0,653711438179016
125;0,817949771881104
133;1,00620794296265
142;1,22085058689117
150;1,46491241455078
158;1,74136352539063
167;2,05245614051819
175;2,39904475212097
184;2,78075885772705
192;3,19744968414307
200;3,64996218681335
209;4,13931179046631
217;4,66574430465698
225;5,22861242294312
234;5,82701778411865
242;6,46025896072388
250;7,12719631195068
259;7,82605600357056
267;8,55513095855713
275;9,31246185302734
284;10,0950937271118
292;10,8999357223511
300;11,7252836227417
309;12,5711393356323
317;13,4389019012451
325;14,330940246582
334;15,2490358352661
342;16,1926670074463
350;17,1590785980225
359;18,1445732116699
367;19,1456279754639
375;20,159423828125
384;21,1839294433594
392;22,2176647186279
400;23,259204864502
409;24,3065128326416
417;25,3560905456543
425;26,4025630950928
434;27,4398078918457
442;28,4632091522217
450;29,4706611633301
459;30,4609832763672
467;31,4314060211182
475;32,3767585754395
484;33,2909126281738
492;34,1690292358398
500;35,0087051391602
509;35,8092231750488
517;36,570011138916
526;37,2899322509766
534;37,9678955078125
542;38,604248046875
551;39,2013969421387
559;39,7626495361328
567;40,290283203125
576;40,7843322753906
584;41,2425155639648
592;41,6612815856934
601;42,0374565124512
609;42,3689956665039
617;42,6545066833496
626;42,8931198120117
634;43,0848541259766
642;43,2303047180176
651;43,3308067321777
659;43,3889579772949
667;43,4079475402832
676;43,3901329040527
684;43,336483001709
692;43,2471656799316
701;43,1227989196777
709;42,9646873474121
717;42,773551940918
726;42,5488891601563
734;42,2898712158203
742;41,9962348937988
751;41,6686172485352
759;41,3089256286621
767;40,9201583862305
776;40,5057220458984
784;40,0691337585449
792;39,6145782470703
801;39,1476020812988
809;38,6748085021973
817;38,2024230957031
826;37,7346267700195
834;37,2725143432617
843;36,814525604248
851;36,357780456543
859;35,8986968994141
868;35,4336242675781
876;34,9599952697754
884;34,4766540527344
893;33,9828948974609
901;33,4773635864258
909;32,957332611084
918;32,4184951782227
926;31,8551998138428
934;31,2613677978516
943;30,6321449279785
951;29,9654750823975
959;29,2616558074951
968;28,5215110778809
976;27,7458076477051
984;26,9353847503662
993;26,0904006958008
1001;25,2102394104004
1009;24,2945671081543
1018;23,3430023193359
1026;22,3534564971924
1034;21,321756362915
1043;20,2426090240479
1051;19,111011505127
1059;17,9237079620361
1068;16,6793403625488
1076;15,3779439926147
1084;14,0223350524902
1093;12,6203708648682
1101;11,1849584579468
1109;9,73213672637939
1118;8,27933788299561
1126;6,84434509277344
1134;5,44439744949341
1143;4,09490776062012
1151;2,80823397636414
1159;1,59393858909607
1168;0,460072994232178
1176;-0,585845410823822
1185;-1,53594827651978
1193;-2,38196516036987
1201;-3,11674094200134
1210;-3,73609256744385
1218;-4,23977136611938
1226;-4,63120698928833
1235;-4,91654205322266
1243;-5,10334253311157
1251;-5,19980049133301
1260;-5,21517038345337
1268;-5,16022062301636
1276;-5,04692649841309
1285;-4,88755178451538
1293;-4,69322204589844
1301;-4,47302198410034
1310;-4,23374557495117
1318;-3,979567527771
1326;-3,7119288444519
1335;-3,42995929718018
1343;-3,13136339187622
1351;-2,81378126144409
1360;-2,47572469711304
1368;-2,1162223815918
1376;-1,73514246940613
1385;-1,33512949943542
1393;-0,922234356403351
1401;-0,504214227199554
1410;-0,0887559652328491
1418;0,31671530008316
1426;0,704391241073608
1435;1,06626868247986
1443;1,39490151405334
1451;1,68400311470032
1460;1,92913675308228
1468;2,12820625305176
1476;2,28187227249146
1485;2,39441537857056
1493;2,47402119636536
1502;2,53141140937805
